AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,TRV,UNH,V,VZ,WBA,WMT
85250900,2577100,3139300,9073500,2940000,6288200,27845200,5890400,7083800,6195300,3118600,3426700,3437900,5458600,39416500,6710800,22276300,13721400,2758200,3003500,12139700,28142300,8451900,1460700,3282300,13952100,21962900,13122900,5937500
99136600,2060000,3963300,6146300,2674000,16354800,18223300,5631200,8533500,8009100,6428600,3166500,1978600,5120300,51126900,10883600,21539700,11823100,3123600,2564000,9530400,26329600,7364700,1670000,2345500,5209200,27488600,10005500,5614100
61758300,1883000,2803900,6321900,2088700,6220500,19071700,9766800,11731000,8371500,2363800,4323000,1688000,5906600,33882300,10044600,17072000,10182300,3021300,2578600,8546100,19985700,5102000,2176500,2500500,4927000,29563600,8462600,3779800
64522000,2058000,4319300,4331700,2953900,9203400,16830500,8871500,8212400,9259900,2382300,3959500,2687500,13623100,33247700,5659900,12207400,16905100,2410700,3142900,7626000,21811000,13500000,1702100,2390800,5706700,35523700,6223600,4251600
86548600,3531200,11755400,5451300,3483800,8335500,25035000,7971300,10193400,7483600,3545700,3429100,2959800,7201300,53058700,8487600,20593300,15034100,3254900,3342500,10297200,26299700,7976300,1471700,2896000,7582500,51671100,9883800,6044900
75981900,2883200,4299600,5177800,2919500,6259200,18785300,7007700,8221500,5645700,2232600,2937100,3271000,5610900,43831600,6855500,12624200,17416700,4125100,3394100,11414900,24911200,8847100,1649700,2627100,7299200,28844800,7655600,6268900
74732300,2548900,3889100,6515600,2545000,5804500,19165200,7280600,7687500,5202500,1837700,2791600,2907100,5957600,32205300,5661900,11289100,28829900,2689000,5014700,8747900,34775500,8639900,2059800,2411900,11907200,25496500,6596900,5017100
88194300,3008900,3559100,29406500,3546000,6617500,20051000,6865300,9203700,6020700,2176700,2615000,4202900,5139000,37111100,6123800,11667000,15831400,3582600,4628000,10374700,82543200,8648200,1926000,2863500,15450000,20328200,5739600,6918100
109180200,2260900,2101300,13754900,7872200,4987700,18102500,9177400,8673500,4524400,1998800,3041500,4754000,3993200,56305100,5390900,10727600,16026100,4145700,3716500,12218400,40424600,8617900,1143500,2212100,7946700,20268000,5581600,5534300
164762400,2924100,3383100,7941100,5161000,5055400,17978300,10773900,7250900,6943200,1677100,3243100,4892700,5965500,91695700,6073900,11859500,12888900,4647600,3812600,11228000,40647700,6022400,1750700,2761900,8455600,31824300,6883500,4549400
97943200,3033600,3042900,6212200,3786100,4878100,17793700,13281000,8814800,6434000,2224000,4210900,4433400,4915300,59507700,7810000,13295200,14016400,3336100,4326200,11043800,28357300,6426400,1544800,2770400,8674100,26630600,9705800,7524000
80379300,2062600,2675500,5758600,2717500,4545900,12088700,9185600,7955800,4892300,2316600,3309100,4376600,3590600,44418700,6985000,13386900,10659500,2740900,2131800,11079300,30592300,7250700,2154400,3338900,5919500,22968900,5473100,4938100
93604600,2637300,2851600,20236100,3150000,7238200,15308800,8087500,9583200,7310300,3221200,4426400,4692700,5360500,51956100,6877300,16546100,14549200,3069900,2561700,9503500,38407000,7176600,1837900,2696200,6985600,30648900,8126300,5174000
97918500,2779500,3960500,16212600,3570400,5999400,17895600,6607800,8978400,5122300,2515600,4823900,4653700,4442400,39678200,4819900,12474400,9194000,3225400,2006900,9912700,36633900,6550300,1186300,2245300,8236200,22329800,5609800,3658800
140814800,3402000,3322100,9396200,4973800,14265300,19648700,7491900,11035800,10593100,3172700,4401600,4125000,4178000,43051900,5300900,14953200,9725900,3256500,2320600,8877600,36789100,12543300,1019200,3513100,9680100,17599400,7478700,4889800
83374600,2926700,2918000,10220300,3405600,7379900,21383000,7578000,11355200,5849000,2526900,3260200,2671700,4043100,34389800,6621000,12011200,8849700,3029500,1914300,8644500,33498000,9094500,1273000,2540300,7821300,19697600,12631400,3788000
89908500,6911300,3846000,11274500,3676600,9101800,17503100,6308200,27130300,4739700,3501300,3371800,2631300,5042800,36258000,5148400,9884100,10081600,2628800,1824800,8503900,28192500,7017800,1184400,2797000,6943700,17392700,8082900,5022800
74917800,3469100,2425500,8893800,6248300,5588500,19311700,8021700,62029800,5089900,3047200,3071400,3040400,4720000,30544800,6150000,9494000,10115200,2610800,1782400,10602900,27852900,6550900,999200,2672600,7320200,17574600,6830500,5310700
118854000,4083200,4701600,12375000,4590800,8777900,27190100,6981500,36968100,6592000,3790400,7794000,4354600,5389000,62943900,7877500,16351600,16804800,4510900,3159700,9556000,46268000,9361000,1618000,3426400,8048900,23049000,8825000,6770200
