Date,Open,High,Low,Close*,Adj Close**,Volume
30-Sep-22,"29,123.03","29,355.78","28,715.85","28,725.51","28,725.51","464,260,000"
29-Sep-22,"29,513.73","29,513.73","28,997.34","29,225.61","29,225.61","388,820,000"
28-Sep-22,"29,198.92","29,811.78","29,114.97","29,683.74","29,683.74","436,040,000"
27-Sep-22,"29,419.88","29,659.12","28,958.22","29,134.99","29,134.99","355,460,000"
26-Sep-22,"29,536.84","29,630.77","29,161.12","29,260.81","29,260.81","369,450,000"
23-Sep-22,"29,955.65","29,955.65","29,250.47","29,590.41","29,590.41","388,200,000"
22-Sep-22,"30,204.52","30,302.28","29,994.53","30,076.68","30,076.68","335,270,000"
21-Sep-22,"30,819.39","31,020.79","30,181.99","30,183.78","30,183.78","354,960,000"
20-Sep-22,"30,888.53","30,888.53","30,465.91","30,706.23","30,706.23","317,970,000"
19-Sep-22,"30,722.86","31,026.89","30,559.37","31,019.68","31,019.68","291,200,000"
16-Sep-22,"30,866.61","30,866.61","30,550.08","30,822.42","30,822.42","627,920,000"
15-Sep-22,"31,124.68","31,277.69","30,882.08","30,961.82","30,961.82","345,500,000"
14-Sep-22,"31,141.02","31,276.82","30,885.02","31,135.09","31,135.09","348,670,000"
13-Sep-22,"32,006.50","32,006.50","31,018.54","31,104.97","31,104.97","428,930,000"
12-Sep-22,"32,159.49","32,504.04","32,159.49","32,381.34","32,381.34","339,250,000"
9-Sep-22,"31,876.22","32,227.74","31,876.22","32,151.71","32,151.71","310,980,000"
8-Sep-22,"31,481.95","31,783.37","31,321.50","31,774.52","31,774.52","344,340,000"
7-Sep-22,"31,145.63","31,644.34","31,095.21","31,581.28","31,581.28","345,080,000"
6-Sep-22,"31,343.79","31,463.89","31,048.46","31,145.30","31,145.30","347,320,000"
2-Sep-22,"31,848.50","32,026.90","31,182.09","31,318.44","31,318.44","306,180,000"
1-Sep-22,"31,454.58","31,677.51","31,219.75","31,656.42","31,656.42","339,360,000"
31-Aug-22,"31,827.15","31,966.04","31,509.59","31,510.43","31,510.43","392,780,000"
30-Aug-22,"32,163.84","32,205.66","31,647.22","31,790.87","31,790.87","317,150,000"
29-Aug-22,"32,188.00","32,325.16","31,972.79","32,098.99","32,098.99","317,820,000"
26-Aug-22,"33,293.43","33,364.70","32,278.22","32,283.40","32,283.40","352,850,000"
25-Aug-22,"33,029.27","33,306.09","32,889.85","33,291.78","33,291.78","308,530,000"
24-Aug-22,"32,899.01","33,095.50","32,828.56","32,969.23","32,969.23","256,900,000"
23-Aug-22,"33,033.52","33,138.26","32,858.89","32,909.59","32,909.59","251,870,000"
22-Aug-22,"33,586.59","33,586.59","33,007.63","33,063.61","33,063.61","308,900,000"
19-Aug-22,"33,904.69","33,904.69","33,627.09","33,706.74","33,706.74","293,990,000"
18-Aug-22,"33,981.86","34,043.83","33,844.46","33,999.04","33,999.04","282,550,000"
17-Aug-22,"34,029.55","34,161.01","33,828.41","33,980.32","33,980.32","281,390,000"
16-Aug-22,"33,924.35","34,281.36","33,852.57","34,152.01","34,152.01","288,670,000"
15-Aug-22,"33,710.70","33,954.71","33,582.96","33,912.44","33,912.44","262,670,000"
12-Aug-22,"33,430.72","33,767.09","33,398.32","33,761.05","33,761.05","299,140,000"
11-Aug-22,"33,451.51","33,651.80","33,289.83","33,336.67","33,336.67","308,030,000"
10-Aug-22,"33,130.63","33,364.41","33,130.63","33,309.51","33,309.51","311,740,000"
9-Aug-22,"32,807.36","32,877.53","32,702.66","32,774.41","32,774.41","281,080,000"
8-Aug-22,"32,877.36","33,109.96","32,769.10","32,832.54","32,832.54","275,350,000"
5-Aug-22,"32,593.90","32,814.61","32,489.62","32,803.47","32,803.47","273,010,000"
4-Aug-22,"32,805.69","32,829.22","32,652.63","32,726.82","32,726.82","315,590,000"
3-Aug-22,"32,514.21","32,912.74","32,514.21","32,812.50","32,812.50","342,160,000"
2-Aug-22,"32,691.29","32,772.93","32,387.12","32,396.17","32,396.17","316,740,000"
1-Aug-22,"32,755.71","32,972.03","32,640.79","32,798.40","32,798.40","321,180,000"
29-Jul-22,"32,515.62","32,910.18","32,493.02","32,845.13","32,845.13","487,360,000"
28-Jul-22,"32,197.62","32,609.54","31,982.61","32,529.63","32,529.63","331,110,000"
27-Jul-22,"31,865.05","32,336.23","31,799.43","32,197.59","32,197.59","365,480,000"
26-Jul-22,"31,950.04","31,950.04","31,705.36","31,761.54","31,761.54","324,930,000"
25-Jul-22,"31,950.93","32,029.03","31,821.67","31,990.04","31,990.04","255,450,000"
22-Jul-22,"32,167.92","32,219.25","31,731.47","31,899.29","31,899.29","319,880,000"
21-Jul-22,"31,826.49","32,040.63","31,534.08","32,036.90","32,036.90","302,320,000"
20-Jul-22,"31,829.99","31,944.45","31,646.95","31,874.84","31,874.84","313,520,000"
19-Jul-22,"31,165.91","31,842.25","31,165.91","31,827.05","31,827.05","378,720,000"
18-Jul-22,"31,475.98","31,644.68","30,982.97","31,072.61","31,072.61","309,960,000"
15-Jul-22,"30,775.37","31,288.26","30,775.37","31,288.26","31,288.26","321,570,000"
